Pizza		
Vegetarienne	Tomates fraiches, tapenade d'olive, tomate sechees oingo	9
Jambo Mozza	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	10
Regina	Tomates fraiches, tapenade d'olive, tomate sechees oingo	9
Margherita	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	10
Merso	Tomates fraiches, tapenade d'olive, tomate sechees oingo	9
Mozza	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	10
Bleaz	Tomates fraiches, tapenade d'olive, tomate sechees oingo	9
Jambo	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	10
Desser		
Vegetarienne	Tomates fraiches, tapenade d'olive, tomate sechees oingo	7
Jambo Mozza	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	2
Regina	Tomates fraiches, tapenade d'olive, tomate sechees oingo	28
Margherita	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	170
Merso	Tomates fraiches, tapenade d'olive, tomate sechees oingo	6
Mozza	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	7
Bleaz	Tomates fraiches, tapenade d'olive, tomate sechees oingo	9
Jambo	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	67
Glaces		
Vegetarienne	Tomates fraiches, tapenade d'olive, tomate sechees oingo	7
Jambo Mozza	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	767
Regina	Tomates fraiches, tapenade d'olive, tomate sechees oingo	77
Margherita	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	7
Merso	Tomates fraiches, tapenade d'olive, tomate sechees oingo	9
Mozza	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	7
Bleaz	Tomates fraiches, tapenade d'olive, tomate sechees oingo	5
Jambo	Blancs de volaille, base mozzarella, parmesan, tomate,  Blancs de volaille, base mozzarella, parmesan, tomate	170
